Name,Address,Latitude,Longitude
Essex Lehigh Terminal,"3938 Easton Nazareth Highway,Nazareth,PA,18064,USA",40.7229,-75.3085
Longview Ash Transload,"741 Lazzelle Union Road,Maidsville,WV,26541,USA",39.6378,-80.0342
Louisville Ash Terminal,"7550 Grade Lane,Louisville,KY,40219,USA",38.2527,-85.7585
Duraport Marine Terminal,"92 East 2nd Street,Bayonne,NJ,07002,USA",40.6688,-74.1146
Tidewater Logistics,"440 S 3rd St,Steubenville,OH,43952,USA",40.3698,-80.6339
Aberdeen Ash Terminal,"230 East Maple Street,Aberdeen,NC,28315,USA",35.1321,-79.4314
Selma Ash Terminal,"404 E. Preston Street,Selma,NC,27576,USA",35.5385,-78.281
Terminal Voenna Rampa,"Probuda 12,Sofia,1220,Bulgaria",42.7215,23.2948
Terminal Voenna Rampa,"Probuda 12,Sofia,1220,Bulgaria",42.7215,23.2948
Durres Terminal,"Pika Doganore Port,Durres,2000,Albania",41.3133,19.4556
Fier Terminal,"Fier-Lushnje,Fier,9309,Albania",40.7243,19.5563
Korce Terminal,"Pika Doganore Kapshtice,Korce,7000,Albania",40.6186,20.7808
Saranda Terminal,"Sarande-Gjirokaster,Sarande,9700,Albania",39.8752,20.0028
Tirana Terminal,"Kashar,Tirane,Albania",41.3317,19.8317
Belgrade Terminal,"Beogradska 01,Belgrade,11000,Serbia",44.8176,20.4569
Chesinovo Terminal,"s. Cesinovo,Kocani,North Macedonia",41.8833,22.3
Ohrid Terminal,"s.Orovnik,Ohrid,6000,North Macedonia",41.1231,20.8016
Strumica Terminal,"Strumica,2400,North Macedonia",41.4387,22.6433
Bitola Terminal,"Ul. Rastanska br. 28,Bitola,7000,North Macedonia",41.0297,21.3294
Kline Terminal,"Dollc,Kline,32000,Kosovo",42.6222,20.5756
Bar Terminal,"Bescarinska zona,Bar,85000,Montenegro",42.0937,19.1002
Podgorica Terminal,"65A Josipa Broza Tita,Podgorica,81000,Montenegro",42.4304,19.2594
Beni Suef Port,"Alexandria Port,Alexandria,Egypt",31.2001,29.9187
Alexandria Port,"Alexandria Port,Alexandria,Egypt",31.2001,29.9187
Marmara Terminal,"Bahcelievler Mah Limanyolu,Tekirdag,59740,Turkey",40.9797,27.5126
Samsun Terminal,"Samsun,55300,Turkey",41.2867,36.33
SultankΓ¶y Gemlik Terminal,"Gemlik,Bursa,16600,Turkey",40.4319,29.1519
Pennsuco Alternative Fuel Plnt,"11000 NW 121 Way,Medley,FL,33178,USA",25.8201,-80.3442
GAEA - ALX,"Abis fertilizer plant,Alexandria,Egypt",31.1667,29.8833
GAEA Khanka,"Qalyubiyya,Egypt",30.3333,31.2167
Warehouse Markopoulo,"28 km Athens Lavrio,Markopoulo,19003,Greece",37.89,23.93
Warehouse Rethymno,"Latzimas Prinos Mylopotamou,Rethymno,74100,Greece",35.3697,24.4715
Warehouse Thessaloniki port,"Thessaloniki Port,Thessaloniki,54012,Greece",40.65,22.93
Aggregates warehouse Patra,"Arachovitika,Drepano Achaia,26504,Greece",38.11,21.72
Ship Thessaloniki,"Thessaloniki Port,Greece",40.65,22.93
Ship Patra,"Arachovitica,Drepano Achaia,26504,Greece",38.11,21.72
Warehouse BIPE Irakleiou,"Kallithea Pediados (n. Heraklion) Industrial Area Heraklion,71408,Greece",35.3387,25.12
Not Used,USA,,
Nicholson St RM,"111 N. Nicholson St,Henrico,VA,23231,USA",37.5407,-77.38
